0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
-0.31028977,0.047604233,-0.21356289,0.57472885,-0.58017457,0.3459664,-0.4193471,0.1167023,0.2573461,-0.45263106,0.15140025,-0.09806038,-0.39910096,-0.4193216,-0.28038967,-0.79753983,0.69498205,0.49016222,-0.48495764,0.4661166,0.107240185,0.3930224,0.37463662,0.43486187,0.20372911,-0.27223262,-0.28316855,0.33720684,0.68992376,-0.018565405,-0.519446,-0.110151894,-0.12356238,-0.33003664,-0.24680915,-0.52110845,0.19511019,-0.15215904,-0.36639196,-0.22156012,0.14744732,0.7370428,-0.2053659,0.10457571,-0.5948744,-0.18236414,-0.31336817,-0.41640136,0.31210336,-0.43038696,0.19229293,0.1614088,-0.09766559,-0.14981066,0.4053759,0.30143458,-0.10366869,0.52021784,-0.3705806,-0.34806693,-0.3562486,-0.46163106,-0.23103777,-0.62706757,-0.045904085,-0.8211585,-0.6107829,0.124600366,-0.72673625,-0.15146163,0.63962233,0.49897978,0.04903921,0.6833743,-0.20385407,-0.42761928,0.28234443,-0.45544168,-0.053441167,-0.49717376,-0.8492487,-0.14005482,-0.3377026,0.15916589,-0.20537747,0.05661263,-0.8530656,-0.35930404,0.5320901,0.6889335,0.37843812,0.33468726,0.24321753,-0.09720984,0.38544852,-0.37079275,0.24950202,-0.3845797,0.25500667,-0.33139354,-0.84098035,-0.5123206,0.39668563,-0.01237124,0.22082677,-0.18002704,0.2936359,-0.27394226,-0.18661125,-0.32834587,-0.38479665,0.7154799,-0.40009823,-0.4846339,0.031410463,-0.10266406,0.1652249,0.13189779,0.49576318,-0.32727692,0.1411155,-0.27148736,-0.54290354,-0.20414858,-0.32447457,0.7195254,-0.07877218,-0.39414638,-0.26295313,0.055648714,0.0020205989,0.08499166,-0.3595233,-0.61715865,-0.7297533,0.50785124,0.1488142,0.77898,-0.33595365,0.56904924,0.13242638,0.53674644,0.04437772,0.29411924,-0.19998026,0.19346005,0.1159593,-0.32215554,0.075914495,0.15871868,0.41937092,-0.53305167,-0.23635054,-0.004452963,-0.17575207,0.4003888,0.27268595,0.19612603,0.6530627,-0.45132127,0.14276592,-0.15313965,-0.282884,-0.5356657,-0.3622173,-0.15297885,0.4619312,0.049613412,-0.38069913,-0.33063108,0.5028529,0.09852116,-0.026325876,-0.4450095,0.32009968,-0.16087294,0.6050105,-0.59994733,-0.11071728,-0.42326546,-0.7059682,0.24885178,0.16066626,0.18648836,-0.61320686,-0.119355775,-0.13254723,-0.13664779,-0.540017,0.23879024,0.20692205,0.3976265,0.123680666,0.0049125827,0.0412456,0.4622109,0.07981408,-0.46044752,0.19149098,0.2076355,0.82534057,-0.20078957,0.3752904,-0.23599026,-0.72989655,-0.056610607,-0.37314698,-0.10276977,-0.34109744,0.3772545,0.4941744,-0.27138487,0.46736142,-0.1499903,-0.30109382,-0.3710471,-0.62079656,0.039994627,0.15458111,0.49329272,-0.34826964,-0.38757586,0.45372203,-0.70058954,-0.17850068,0.3765253,-0.589641,0.5014733,-0.07202888,-0.5076805,0.16842376,-0.7847559,0.19786629,0.14267541,-0.44704527,0.624442,-0.32243463,-0.2724577,-0.42453626,-0.5135672,0.028823238,-0.5078807,-0.26403308,-0.088696405,0.0074962685,0.29644215,0.5465914,-0.11329945,-0.27449667,0.10085493,-0.39913183,-0.085710146,0.3399299,0.44826564,-0.55378246,0.21555609
-0.111778006,0.21924542,-0.2960379,0.47877485,-0.76211363,0.1665482,-0.21012437,0.04683119,-0.05761156,0.31460264,-0.41667467,-0.0038485765,0.13148831,-0.20711802,0.50639576,-0.69590724,0.7538078,0.31725937,-0.31618822,0.48499373,0.14769995,0.50502443,0.45451814,0.48379478,0.702389,-0.78922606,-0.53844446,0.4796888,0.6462809,0.19440189,-0.4105451,-0.23059864,0.16357578,-0.22334047,-0.21604349,-0.24196006,0.18654746,0.18881352,-0.014827208,-0.18619874,0.25226498,0.5620041,-0.3453255,-0.06035366,-0.19144481,0.54463506,-0.22288628,-0.3904997,0.19676831,0.06620503,-0.08942944,0.06959374,0.35039595,-0.02826087,-0.14310564,0.028351292,-0.29202512,0.5256564,0.098246485,-0.10493041,-0.67216015,0.04655623,-0.16320035,-0.5121735,0.5079759,-0.8638409,-0.57678556,0.21121728,-0.47223252,0.18641658,-0.2772213,0.35445508,-0.15815815,0.6374272,0.0041359714,-0.26944524,0.38620132,-0.38825893,0.12734738,-0.28919345,-0.5856414,-0.02078115,-0.3854083,-0.60481966,0.08184397,0.35674584,-0.7679211,-0.16876629,0.08810398,0.5356662,0.110608034,-0.09040369,0.57409036,0.04364788,-0.02360836,0.15509327,-0.27814206,-0.023133453,0.14080577,0.26703498,-0.5603128,-0.29641935,0.20920627,-0.2488069,0.24891707,-0.103078,-0.22323969,-0.35775313,-0.17256942,-0.06758699,-0.11203107,0.44746467,0.22689576,-0.033919282,-0.09602891,0.10353371,0.37960216,0.42177635,0.1487198,-0.13856721,0.13310659,-0.44205698,0.013016308,0.1804601,-0.19540307,0.40182495,0.4416375,-0.42549732,-0.27557272,-0.3152344,0.26793414,-0.010647275,-0.37588492,-0.8255659,-0.2725304,0.5792933,0.13353215,0.59169054,-0.09017217,0.66986084,-0.074725986,0.55087423,0.75323284,0.38972303,-0.38408637,0.17462938,0.4487643,-0.434093,0.5978893,0.1751086,0.20208547,-0.645167,-0.45751217,-0.3661577,0.12873568,0.076339856,0.047909,-0.09335531,0.2883461,-0.3808671,-0.19779132,0.1973377,-0.5245517,-0.85122263,-0.4772815,0.7052362,0.13165313,0.30260298,0.008149968,-0.40651262,0.588186,0.19011395,-0.115988955,-0.569445,0.5522797,0.26153284,0.37048945,-0.4844159,0.06863417,-0.4778057,-0.64409816,0.013005697,0.26479155,-0.21275288,-0.8165643,-0.21256576,0.28245938,-0.6627438,0.0073276917,0.23711358,-0.10818305,0.4876547,0.042304777,-0.33960712,0.44326317,0.5607158,0.089878336,0.326396,0.39342698,-0.033524975,0.90654,-0.13589397,0.35610074,-0.5667261,-0.521143,-0.20466676,0.18269293,-0.2874716,-0.45626083,-0.526478,0.349371,-0.5152625,0.37132284,0.37831455,-0.7844024,-0.2715358,-0.23988776,0.56306803,0.29314017,0.24193074,-0.0782294,-0.4940027,0.14410374,-0.57086945,0.13458474,0.51453954,0.06282613,0.65291476,0.17863841,-0.34103855,0.17305508,-0.7807009,-0.17380223,0.111908026,-0.4307734,0.6413834,-0.56144243,-0.3973009,-0.48976815,-0.2961581,0.112578005,-0.37716782,-0.39048553,-0.25538665,0.028654678,0.13417067,0.4391935,0.6395849,-0.5590217,0.52350664,-0.48872107,-0.67300344,0.018004486,-0.1955806,-0.5776593,-0.2124718
-0.56732655,-0.12020941,-0.11298219,0.57641816,-0.6152916,0.31798914,-0.30954313,0.013518985,0.030270398,-0.468995,0.050844893,-0.28763846,-0.56898034,-0.5174617,-0.45047888,-0.74300206,0.5285062,0.5632589,-0.27430016,0.43263626,0.47316578,0.4141219,0.30570972,0.6340812,0.23490544,0.08026432,-0.6044601,0.3173157,0.35079435,-0.0837499,-0.69333506,-0.123299584,0.117474616,-0.2177364,-0.16154371,-0.51918554,-0.07547241,-0.15494496,-0.68253505,-0.3037051,0.089790754,0.7016261,0.050448835,0.14703844,-0.61682075,-0.22264719,-0.23091081,-0.2830762,0.48569465,-0.4552246,0.23518108,-0.0941421,0.20872676,-0.37314817,0.4582545,0.5732119,-0.039105155,0.7622805,-0.4298302,-0.31455746,0.030582896,-0.18428586,-0.13079555,-0.76917666,0.18873794,-0.85479575,-0.38460463,0.13796243,-0.7071326,-0.32049605,0.45621634,0.41500953,0.20233925,0.5123545,-0.49765208,-0.36006555,0.043002132,-0.37791646,-0.34595615,-0.51435494,-0.810078,-0.28965068,-0.33865595,0.37033597,0.23133685,0.1665361,-0.8929351,-0.3970403,0.45607963,0.6932082,0.4860422,0.26232213,0.48666537,-0.13484274,0.44408658,-0.45978993,0.1781892,-0.2338166,-0.022290858,-0.26585507,-0.81824225,-0.46577063,0.36835063,0.08210524,0.31537464,-0.35800087,0.14530087,-0.453337,-0.009483025,-0.59383523,-0.2461097,0.7823495,-0.16847968,-0.33975407,0.29670957,-0.42232245,0.09963371,0.40009877,0.41966256,-0.3262353,0.14173906,-0.07121339,-0.5570044,-0.12454193,-0.2888723,0.76018906,-0.03155325,-0.43424308,-0.17167145,-0.0022225622,-0.060509488,-0.021055514,-0.26347604,-0.38786927,-0.6548805,0.214286,0.004749862,0.81275153,-0.052558992,0.6068107,-0.050316367,0.47205532,-0.1646461,0.31333753,-0.52480996,0.2193986,-0.14952327,-0.2158628,-0.033384547,0.17297737,0.56015,-0.49975416,-0.19892223,0.27116874,0.1759715,0.23656608,-0.013373946,-0.056967005,0.50171864,-0.60948414,-0.25699222,0.014099914,-0.25900465,-0.33231422,-0.27875328,0.1401271,0.16811503,-0.30259502,-0.52909636,-0.3980814,0.5300702,0.08460848,-0.037691135,-0.33169326,0.44171077,-0.1209087,0.54187477,-0.7181435,-0.34516105,-0.41113466,-0.76383823,-0.019017836,0.2651013,-0.028130773,-0.4836029,-0.21733527,0.109101325,-0.33892283,-0.346483,0.11033976,0.5393471,0.27927437,-0.07817843,-0.08452439,0.10692206,0.11811121,0.009926207,-0.6701807,0.14132401,0.3139576,0.8261906,-0.08559543,0.20363024,-0.24916777,-0.6548691,-0.33247635,-0.44595143,-0.43989164,-0.2150377,0.3606812,0.34949297,-0.063790455,0.08445109,-0.07494435,-0.27949277,-0.24916995,-0.47094077,0.09748695,0.14105564,0.47059885,-0.56027246,-0.5437591,0.3094362,-0.7087786,-0.3239126,0.4862806,-0.41842625,0.47394687,-0.15730177,-0.7112001,-0.20696762,-0.6915401,0.33764464,0.29708707,-0.16809776,0.1311116,-0.26616377,-0.09014429,-0.28354692,-0.5350713,-0.14931396,-0.49262798,-0.2773544,-0.16724488,0.050581206,0.2695087,0.39236093,0.1155048,-0.26814678,0.063557126,-0.35184997,-0.35656857,0.2675534,0.38643694,-0.36334592,0.3106666
-0.23307203,0.266337,-0.20715144,-0.6473448,-0.41097552,0.26831898,-0.41372553,-0.007438828,0.47492474,0.1721632,-0.20702338,-0.66862535,-0.52029335,-0.3517881,-0.28710023,-0.41970074,0.41386515,-0.2570279,-0.011805889,0.5568882,0.7037378,0.73003805,-0.5522584,-0.0049018506,-0.5058606,0.25121504,-0.70860076,-0.4103008,0.41403827,0.1715686,0.22778876,-0.7242386,0.10411364,-0.22042426,-0.12390318,-0.8235539,0.48420304,0.14588085,-0.49681297,0.6457634,0.36724055,0.6199491,-0.0008657498,-0.15691526,-0.35594502,-0.10631637,0.3673208,-0.23576246,0.43289015,-0.6533283,-0.31111005,0.26785308,0.42128423,0.1786855,0.5930017,0.28387937,-0.5104295,0.17561705,-0.21075827,0.10798408,0.062988,-0.6080382,-0.055333942,-0.28373098,-0.016183492,0.19654128,-0.2853983,0.0011332626,-0.80015934,0.068352625,-0.6526291,0.087019995,0.5082625,-0.7010715,0.2701293,-0.046064593,-0.4230072,-0.5519219,-0.009093956,0.63415456,0.053130757,0.36766112,0.74585676,0.71379924,-0.0051403786,-0.4132991,-0.5354375,-0.54816973,0.3197043,0.62511224,0.05148434,0.5080661,0.40544784,-0.021794591,0.44806838,-0.2850675,0.6796447,-0.62147224,0.17899339,-0.801144,-0.5086093,-0.4047043,-0.41856933,-0.038223907,0.07698921,0.050185394,0.529045,-0.4171707,0.18402092,-0.5090125,-0.009668146,0.8770283,-0.18446751,0.33401775,-0.25481024,-0.25758886,0.81295663,0.44758534,0.38135105,-0.6507359,0.10371012,-0.56820536,-0.48503754,-0.46296662,0.22419904,-0.3395735,-0.37988207,0.29222584,0.04018125,0.19816709,-0.24853039,-0.45446533,-0.14830458,0.009538408,0.36267558,-0.28030735,-0.15278645,0.25372073,-0.21293212,0.7671707,0.25041822,-0.36548883,-0.17176406,0.08244465,-0.08152462,-0.2961278,0.31422073,-0.55729055,-0.10113789,0.65779316,0.5987868,-0.73144734,0.13047479,-0.47175443,-0.5399278,0.78937244,-0.16453499,0.32970786,0.49404064,-0.15013485,0.068875924,-0.41183075,-0.0001526149,0.25580812,-0.023112934,-0.089406446,0.175563,-0.41408265,0.5922171,-0.4288859,0.24764374,-0.11869283,0.07315558,-0.39888793,0.44311684,-0.82693696,0.68457615,-0.50606316,-0.23057003,-0.7384978,0.14296271,-0.48203838,0.19536188,-0.20761187,0.1108288,-0.008818133,0.016915537,0.01753335,0.23427048,-0.21648365,0.1749884,-0.40948048,-0.7018734,0.50085104,-0.34869394,0.4342457,0.05049897,0.5203619,0.40358174,-0.17535488,-0.10302907,0.19468391,0.34951603,-0.46283576,-0.5197382,0.44920838,0.38392377,0.28936502,0.66167563,-0.56669545,-0.14179708,-0.08668528,0.76121455,-0.10305481,0.2935788,-0.48194695,-0.27151576,-0.39649475,-0.19855426,0.5927774,-0.39234886,-0.4911816,-0.29254645,-0.35709193,0.18511517,0.23437114,0.14430037,-0.24156453,-0.36157125,-0.5143946,0.071667254,0.019793928,0.399874,0.40766916,0.19285531,0.4971317,0.09884804,-0.30112427,-0.44736567,-0.18411899,-0.25080058,-0.30692267,-0.06382557,-0.094104774,0.09674909,0.49961096,0.53138703,-0.5999123,0.6103431,-0.4864282,-0.18369213,0.17867692,0.2805521,0.2606828,-0.22663966,0.17952232
0.40651938,0.106281385,0.1616411,0.22940849,-0.4373146,-0.28221208,-0.15394345,0.36826774,-0.27037522,-0.12210398,-0.097138785,-0.06778717,-0.38337892,-0.40544608,0.37564263,-0.703774,0.6235542,0.7216892,-0.2919846,0.5209164,0.0092626,0.6556679,0.5103442,-0.49347252,0.5767402,0.10390874,0.100909434,-0.17744122,0.4308525,-0.43000796,-0.7470573,-0.41292366,-0.075414434,-0.10102165,-0.4352253,-0.54375625,-0.025418926,0.40388304,-0.51966345,0.13844652,0.7001858,0.6187264,-0.44785622,0.004723215,-0.6166172,0.31626025,-0.20018756,-0.14070754,0.5657137,-0.25110087,0.06434124,0.22929995,0.28074166,0.42995226,0.026753372,0.39121568,-0.19909947,0.43541285,0.048278645,-0.695352,-0.10347356,-0.027510928,0.15953621,0.05765045,0.20125228,-0.7131183,-0.05414398,0.40712455,-0.8151555,-0.13096775,0.034524526,0.4188878,0.16162004,0.6512592,-0.29824483,-0.4130782,0.4430768,-0.32033324,0.13362369,-0.07256402,-0.012024857,-0.5132906,0.27735183,0.55458117,-0.1638225,0.6215231,-0.65558803,-0.45178533,0.52120644,0.5032262,0.6114996,0.489668,0.26932406,0.012495317,0.033566143,0.27275857,-0.2887748,-0.22054218,0.10214126,-0.15182786,-0.6249075,-0.5542152,0.36139953,-0.35938644,-0.3011236,-0.21690463,0.16007805,-0.506869,-0.6634617,0.025488582,-0.4835576,0.6794259,0.4227481,0.38010463,0.31739616,-0.29361993,0.43960696,-0.18815981,0.4904289,0.09685545,-0.30205867,-0.49274325,-0.6299491,0.0021406454,-0.49464256,0.45173892,0.04840217,-0.56192076,-0.29285392,-0.45747507,0.264546,-0.42320573,0.040430058,-0.73984337,-0.13950026,0.6439248,0.42011786,0.29866987,-0.4498183,0.3946879,0.06472484,0.4533027,0.28247532,0.19407453,0.018325876,0.40340155,0.28052172,-0.48214912,0.45142645,0.32111484,-0.31680274,-0.39746538,-0.541868,-0.40177447,0.007310152,0.31247416,0.64484024,0.28993207,0.4450771,0.018942064,-0.17078634,-0.22270879,0.00970174,-0.46014044,-0.32427716,0.56783575,0.055807646,-0.43128642,0.051269457,-0.073284216,-0.2841504,-0.26318714,-0.25013646,-0.6658398,0.6219814,0.29820916,0.61911917,-0.46881905,0.18860051,-0.05197221,-0.098342456,0.28130573,0.31107742,-0.18464614,-0.7064822,-0.35343024,0.08504946,-0.24682184,-0.024089,0.11373816,-0.82115847,0.024893006,0.07694012,-0.13129431,0.24484247,0.6883118,0.20533082,0.09552173,-0.0906031,-0.086163245,0.86278796,0.23150276,0.40390652,-0.516225,-0.91841507,-0.32895783,-0.435177,0.048404012,-0.14636853,-0.6418439,-0.03652129,-0.22456521,0.15382746,0.39442998,-0.6113529,-0.32982588,-0.6578766,0.053327594,0.36589438,0.34050754,0.22090414,-0.11105967,-0.42837054,-0.23093642,-0.22556455,-0.35071623,-0.4825991,0.73695767,-0.13633727,-0.62689185,0.3835635,-0.765387,-0.45125902,-0.35624447,0.23028445,0.63081896,-0.6397667,-0.34357142,-0.56540513,-0.57491076,0.5574986,-0.6238854,-0.37372592,-0.56799066,-0.19519654,0.45374683,0.62045145,0.30771944,-0.5377549,0.31902197,-0.4772812,-0.14463644,0.16154674,0.60251164,-0.236525,0.36725888
0.52650887,-0.06071224,0.059696212,0.45272923,-0.45468035,0.15651074,-0.39187294,0.5189379,0.232897,-0.59411395,0.26323736,-0.07323163,0.13828671,-0.80145454,0.43198606,-0.50431854,0.47854528,0.21610056,-0.8002262,0.51392156,0.28045985,0.44983003,-0.36106154,-0.30447763,0.04859803,0.012433826,-0.23646922,-0.33059973,-0.16457169,0.21278489,-0.53008825,-0.032177743,0.24392888,0.01476275,-0.1264544,-0.6670366,0.6529952,0.040548984,-0.03930257,-0.21111909,0.6791996,0.33586922,-0.5648662,0.44197595,-0.5110726,0.081366025,-0.121459015,-0.39645827,0.18180865,-0.8123751,-0.089728914,-0.1509368,-0.3480973,0.03702968,0.26766887,-0.26404122,-0.80262893,-0.11755183,-0.3275957,-0.10396431,0.3569841,0.6376487,-0.16343425,-0.48933914,0.04163682,-0.589424,0.28947136,-0.2083656,-0.495614,0.3089351,0.61205554,0.16155565,0.14495587,0.6590125,0.62485945,0.052631654,0.3384491,-0.4917704,-0.23207241,-0.562125,-0.60809094,-0.59941584,-0.044127088,0.47080508,-0.4863078,0.7453209,-0.73940635,-0.07134192,0.43209413,0.3325455,0.71098524,-0.0055084433,-0.19531494,0.50412714,0.43582675,-0.53674364,-0.37577257,-0.41653165,-0.20488188,0.18107188,-0.40772486,-0.4743878,0.33385643,-0.5034404,0.45953658,-0.26361868,-0.10565764,-0.48927104,-0.39417642,0.3537652,-0.19878924,0.6563015,-0.017433768,0.110085845,0.77857196,-0.2101773,0.3934532,0.07372144,0.44307643,0.36003104,0.43204594,0.08193892,-0.44291586,-0.37805137,-0.5550158,0.27073625,-0.12910344,-0.31835887,0.080673575,-0.5786476,-0.01605304,-0.008195522,0.25934908,-0.22829394,0.6258883,-0.15142661,-0.46562976,0.68855846,0.67508566,0.052567847,0.29106864,-0.4157372,0.2805049,0.87389404,0.7934536,-0.318968,0.54326403,0.014434034,-0.17941189,0.37426394,-0.16388983,-0.13935085,0.008370475,-0.15058146,-0.3739034,0.8167117,0.23983729,-0.102733076,-0.039194077,-0.09749757,0.40217048,0.09995761,-0.54437196,-0.26847613,0.25612742,0.32357207,-0.35235512,-0.4130993,-0.22844827,0.23361635,-0.5692055,0.0012786568,0.31779182,-0.67945194,0.6079594,0.079409435,0.33616483,0.3468001,0.31525248,-0.46564054,-0.5887487,-0.10019847,0.82857144,0.11340506,0.11921225,-0.16308442,-0.51720744,-0.39165044,0.555449,-0.22786105,-0.71258175,0.293476,0.06250397,-0.10173873,0.23414515,0.54580724,0.6102209,0.48226193,-0.7252692,-0.21943752,0.50190645,-0.42662302,0.7064239,0.2050652,-0.30966562,0.40088734,0.07526356,-0.017594295,0.7190484,-0.6522398,0.44528586,-0.27247712,-0.07245051,-0.24491331,-0.49486753,-0.36520618,-0.83110386,-0.3320195,0.16881697,0.1621387,-0.45816648,-0.83022517,-0.09656312,-0.21760993,-0.52196217,-0.32111758,-0.23664322,0.54729366,0.133655,-0.6208053,0.17688155,-0.7834697,-0.5680504,-0.09305619,0.4772012,0.0034865083,-0.07532716,0.22281389,0.00044981108,-0.44989574,-0.0016066474,-0.20830803,-0.14735274,0.32817677,-0.55353403,0.67968905,-0.23476984,0.13553336,-0.12833458,0.87119746,-0.17322083,-0.1731255,0.020025872,0.49372202,0.12997895,0.62644875
-0.050671443,-0.07592179,-0.117811024,-0.101636894,-0.11341663,-0.17006962,-0.087607704,-0.09844312,0.065899156,-0.43685988,0.36965665,-0.037809607,0.07842434,-0.2985153,-0.35765207,-0.59862816,0.81763846,0.15476695,-0.41712093,0.26955277,0.1503533,0.5334325,-0.42139146,0.4229576,0.0045461296,-0.4926673,-0.3242789,0.01764465,0.33334973,0.14997482,0.09876727,-0.24683362,0.0964266,-0.13561301,-0.18422456,-0.6173612,0.6280844,0.25010288,-0.5141719,0.25660798,0.6922028,0.59117186,-0.32508576,0.027549135,-0.533225,0.1759819,-0.34904346,-0.53102475,-0.19544046,-0.3413421,0.370474,-0.20190032,-0.36166376,-0.026239466,0.33178174,-0.31358942,-0.052568734,-0.0036955476,-0.28546402,-0.36666575,0.38997015,-0.38436463,-0.42177552,-0.2417774,0.19862486,-0.79900104,0.149803,-0.8888664,-0.12794216,0.0160891,0.1549876,0.32740688,0.5713333,0.7096994,0.47984034,-0.26541442,0.23681949,-0.21386616,-0.15163586,-0.6169689,-0.5287782,-0.050333243,0.3230689,0.44693583,-0.13166812,0.6590539,-0.8137528,-0.49744266,0.24162754,0.1550325,0.49814007,0.42701674,-0.32125914,0.44044837,0.5919597,-0.41772002,-0.18638197,-0.39474204,0.04808082,0.42237967,0.08212654,0.08640567,0.2064268,-0.86023355,0.0064355903,-0.5968807,-0.43868136,-0.05337832,0.39670816,0.09011701,-0.38926142,0.7690292,0.48077127,0.4077451,0.5669459,0.11152746,-0.2293682,-0.036011852,0.1483243,0.48576164,0.2875436,-0.12395403,0.15922862,0.08474415,-0.42685416,-0.09632488,-0.11779333,-0.11457226,-0.4964433,-0.85104907,-0.054364312,0.17032485,0.640057,-0.47682193,0.58605456,0.17289464,-0.000511717,0.6176103,0.01829102,0.040868398,-0.01186997,-0.6085922,0.39850032,0.6637789,0.27523598,-0.2668334,0.29269797,0.67673635,0.5833166,0.25643364,0.033066873,0.27753267,0.0762514,-0.32228014,-0.16214706,0.5056364,0.030004293,0.44517297,0.29307404,0.21297893,0.12547408,0.47396675,-0.2673019,-0.6470004,-0.23639236,0.49636093,-0.23232326,-0.7003027,-0.09667725,0.41097483,-0.051806793,0.08197277,-0.457732,-0.25975737,0.28828424,-0.043401625,0.06926121,0.18430771,-0.28557688,-0.3064071,-0.4534506,-0.18544923,0.5131554,0.29290617,0.3588378,0.32630816,-0.36849222,-0.42903468,0.35573494,-0.036543515,-0.68917406,-0.0062242686,0.283247,-0.2207403,0.17492418,0.1952977,0.72479784,0.5859386,-0.6247978,0.4654807,0.08337237,-0.16911902,0.7356004,0.030698061,-0.20963553,-0.07417245,-0.22660701,-0.1918679,0.6190797,-0.12393947,-0.018200664,0.30754694,0.7276192,0.10611881,-0.60644984,-0.3311399,-0.625795,-0.40112704,0.18955955,-0.03367763,-0.23475069,0.14452752,-0.09222175,-0.57321215,-0.53269714,0.024670407,-0.52193564,0.29433864,-0.5800376,-0.7427782,-0.08875731,-0.58922255,-0.21766134,-0.3581535,-0.029793572,0.34712267,0.5402762,-0.5170158,-0.4600567,-0.80986357,0.24879317,-0.49252397,-0.13328804,-0.12915404,-0.5141119,0.013452538,-0.39023104,0.3577704,0.09908674,0.3708066,-0.43579695,-0.16727217,0.22766075,0.0065398896,0.012665658,0.22670208
